PUZZLE,CATEGORY,DATE USED,WHEN USED
ROUGH AROUND THE EDGES,Phrase,11/13/08 (#4924),R4
FOLKSY CHARM,Thing,11/13/08 (#4924),BR
TWO-FOR-ONE SALE,Event,11/14/08 (#4925),T1
AUSTIN TEXAS,On the Map,11/14/08 (#4925),T2
TINY BUBBLES IN THE WINE,Song Lyrics,11/14/08 (#4925),R1
SALLY & LAVA FIELD,Same Name,11/14/08 (#4925),R2
TURQUOISE BLUE WATER,Thing,11/14/08 (#4925),R3*
TRAIN CONDUCTOR,Occupation,11/14/08 (#4925),T3
PETER PETER PUMPKIN EATER,Rhyme Time,11/14/08 (#4925),R4
MILK JUG,Thing,11/14/08 (#4925),BR
REACH OUT I'LL BE THERE,Song Title,11/17/08 (#4926),T1
INFLATABLE RAFT,Thing,11/17/08 (#4926),T2
EXCHANGING DOLLARS FOR FOREIGN CURRENCY,What Are You Doing?,11/17/08 (#4926),R1*
KEVIN BACON BITS,Before & After,11/17/08 (#4926),R2
FRESHMAN-YEAR ROOMATES,People,11/17/08 (#4926),R3
BACKCOUNTRY HIKE,Fun & Games,11/17/08 (#4926),T3
LANCE ARMSTRONG,Proper Name,11/17/08 (#4926),R4
TOUGH EXAM,Thing,11/17/08 (#4926),BR
PATIO FURNITURE,Around the House,11/18/08 (#4927),T1
EVENT PLANNER,Occupation,11/18/08 (#4927),T2
BARBECUE PIT STOP,Before & After,11/18/08 (#4927),R1
ANTE UP & DOUBLE DOWN,Fun & Games,11/18/08 (#4927),R2*
MR. FANTASTIC & THE INVISIBLE WOMAN,Fictional Family,11/18/08 (#4927),R3
BARCELONA SPAIN,On the Map,11/18/08 (#4927),T3
THE HEART OF THE MATTER,Phrase,11/18/08 (#4927),R4
KHAKI UNIFORM,Thing,11/18/08 (#4927),BR
VISITOR CENTER,Place,11/19/08 (#4928),T1
FOUR-WHEEL DRIVE,Thing,11/19/08 (#4928),T2
FRUIT COCKTAIL DRESS,Before & After,11/19/08 (#4928),R1
UNDER PRESSURE BY QUEEN & DAVID BOWIE,Rock On!,11/19/08 (#4928),R2
SOARING ABOVE GLACIERS IN A SEAPLANE,Event,11/19/08 (#4928),R3*
TRUSTED FRIEND,Person,11/19/08 (#4928),T3
UPHOLSTERED SOFA CUSHIONS,Around the House,11/19/08 (#4928),R4
WORKAHOLIC,Person,11/19/08 (#4928),BR
LANDSCAPE DESIGNER,Occupation,11/20/08 (#4929),T1
DISCOVERY CHANNEL,Show Biz,11/20/08 (#4929),T2
COMPACT ESPRESSO MACHINE,In the Kitchen,11/20/08 (#4929),R1
ALL HANDS ON DECK,Phrase,11/20/08 (#4929),R2*
WHISTLE A HAPPY TUNE-UP,Before & After,11/20/08 (#4929),R3
THE FRENCH ALPS,On the Map,11/20/08 (#4929),T3
PAN-SEARED CRAB CAKES,Food & Drink,11/20/08 (#4929),R4
BLOGGER,Person,11/20/08 (#4929),BR
STARGAZER LILIES,Living Things,11/21/08 (#4930),T1
PICNIC TABLE,Thing,11/21/08 (#4930),T2
PIRATES OF THE CARIBBEAN MOVIE TRILOGY,Show Biz,11/21/08 (#4930),R1*
THE IRONMAN WORLD CHAMPIONSHIP,Event,11/21/08 (#4930),R2
PERFECT SURFING CONDITIONS,Phrase,11/21/08 (#4930),R3
INVESTMENT BANKER,Occupation,11/21/08 (#4930),T3
THE CONTINENT OF AUSTRALIA,On the Map,11/21/08 (#4930),R4
BY THE WAY,Phrase,11/21/08 (#4930),BR
KONA COFFEE,Food & Drink,11/24/08 (#4931),T1
BEVELED MIRROR,Around the House,11/24/08 (#4931),T2
STERLING SILVER BRACELET,Thing,11/24/08 (#4931),R1
EXPLORING ANCIENT RUINS,Event,11/24/08 (#4931),R2*
COOKIE SHEETS AND PILLOWCASES,Before & After,11/24/08 (#4931),R3
INSTANT REPLAY,Show Biz,11/24/08 (#4931),T3
POLYNESIAN RESTAURANT,Place,11/24/08 (#4931),R4
GOLF HAT,Thing,11/24/08 (#4931),BR
MORNING TEE TIME,Fun & Games,11/25/08 (#4932),T1
SCOTLAND & WALES,On the Map,11/25/08 (#4932),T2
ANNUAL HULA FESTIVAL,Event,11/25/08 (#4932),R1
WE ALL LIVE IN A YELLOW SUBMARINE,Song Lyrics,11/25/08 (#4932),R2
THE HUSTLE AND BUSTLE OF THE BIG CITY,Phrase,11/25/08 (#4932),R3*
EXPERT DRIVERS,People,11/25/08 (#4932),T3
ELECTRONICS WAREHOUSE,Place,11/25/08 (#4932),R4
UTOPIA,Fictional Place,11/25/08 (#4932),BR
OPENING CEREMONIES,Event,11/26/08 (#4933),T1
THE NAME OF THE GAME,Rhyme Time,11/26/08 (#4933),T2
OUT WITH THE OLD IN WITH THE NEW YORKER,Before & After,11/26/08 (#4933),R1
FLAPJACKS HOME FRIES & CANADIAN BACON,Food & Drink,11/26/08 (#4933),R2*
SUPERMODEL AND TV HOST HEIDI KLUM,Show Biz,11/26/08 (#4933),R3
GRADUATE STUDENT,Person,11/26/08 (#4933),T3
HOLD THAT THOUGHT,Phrase,11/26/08 (#4933),R4
JUNEAU,On the Map,11/26/08 (#4933),BR
THE LOCAL NEWSPAPER,Thing,11/27/08 (#4934),T1
FAMILY PORTRAIT,Around the House,11/27/08 (#4934),T2
BUTTERCREAM FROSTED CUPCAKES,Food & Drink,11/27/08 (#4934),R1
DANCING WITH THE STARS AND STRIPES,Before & After,11/27/08 (#4934),R2*
POPULAR TOURIST ATTRACTION,Place,11/27/08 (#4934),R3*
STEVEN SPIELBERG,Proper Name,11/27/08 (#4934),T3
RATTLESNAKES AND ARMADILLOS,Living Things,11/27/08 (#4934),R4
PAYCHECK,Thing,11/27/08 (#4934),BR
HIGHWAYS AND BYWAYS,Rhyme Time,11/28/08 (#4935),T1
INDEPENDENCE MISSOURI,On the Map,11/28/08 (#4935),T2
RIGHT ON THE WATER'S EDGE,Place,11/28/08 (#4935),R1*
BEARS & CUBS THE WINDY CITY PAT'S HOMETOWN,Where Are We?,11/28/08 (#4935),R2^
THE LAND OF THE FREE-RANGE CHICKENS,Before & After,11/28/08 (#4935),R3
ELDER STATESMAN,Person,11/28/08 (#4935),T3
DICTIONARY DEFINITIONS,Things,11/28/08 (#4935),R4
FULL OF INTRIGUE,Phrase,11/28/08 (#4935),BR
SOME ASSEMBLY REQUIRED,Phrase,12/1/08 (#4936),T1
PEPPERMINT TEA,Food & Drink,12/1/08 (#4936),T2
LUXURIOUS SUITES & FINE DINING,Things,12/1/08 (#4936),R1
JOLLY OLD SAINT NICK NOLTE,Before & After,12/1/08 (#4936),R2
BAKING GINGERBREAD COOKIES,What Are You Doing?,12/1/08 (#4936),R3
HEAD COACH,Person,12/1/08 (#4936),T3
LAMBSWOOL SWEATER,Around the House,12/1/08 (#4936),R4
STAY FOCUSED,Phrase,12/1/08 (#4936),BR
YOU BETTER SHOP AROUND,Song Lyrics,12/2/08 (#4937),T1
WALDROF SALAD,Food & Drink,12/2/08 (#4937),T2
BRAND-NEW PAIR OF BOOT-CUT JEANS,Thing,12/2/08 (#4937),R1
POINT OF NO RETURN POLICY,Before & After,12/2/08 (#4937),R2
THIS IS WHAT IT'S ALL ABOUT,Phrase,12/2/08 (#4937),R3*
BROTHERS AND SISTERS,TV Title,12/2/08 (#4937),T3
SECRET SERVICE AGENT,Occupation,12/2/08 (#4937),R4
SHOE POLISH,Around the House,12/2/08 (#4937),R5
OFF-ROAD VEHICLE,Thing,12/2/08 (#4937),BR
'TIS THE SEASON,Quotation,12/3/08 (#4938),T1
GAL PAL,Rhyme Time,12/3/08 (#4938),T2
DAZZLING WINDOW DISPLAYS,Thing,12/3/08 (#4938),R1
SOMETHING ROMANTIC ABOUT TRAVELING BY TRAIN,Phrase,12/3/08 (#4938),R2
CORDUROY & SMARTY-PANTS,Same Name,12/3/08 (#4938),R3
THE BIG BANG THEROY,TV Title,12/3/08 (#4938),T3
DON'T STAND SO CLOSE TO ME,Song Lyrics,12/3/08 (#4938),R4
HOLD THE MAYO,Phrase,12/3/08 (#4938),BR
A PERFECT FIT,Phrase,12/4/08 (#4939),T1
THE PRICE IS RIGHT,TV Title,12/4/08 (#4939),T2
EARLY BIRDS & BARGAIN HUNTERS,People,12/4/08 (#4939),R1
BRILLIANT NATURAL BEAUTY,Thing,12/4/08 (#4939),R2*
I CAN'T GET NO SATISFACTION GUARANTEED,Before & After,12/4/08 (#4939),R3
MOUNT FUJI IN JAPAN,Landmark,12/4/08 (#4939),T3
A BEHIND-THE-SCENES LOOK,Show Biz,12/4/08 (#4939),R4
CERAMIC COFFEE MUGS,In the Kitchen,12/4/08 (#4939),R5
COZY CAFE,Place,12/4/08 (#4939),BR
SHIPPING & HANDLING,Things,12/5/08 (#4940),T1
WINTER COAT,Around the House,12/5/08 (#4940),T2
I'VE ALWAYS WANTED TO GO THERE,Phrase,12/5/08 (#4940),R1*
CLOSET SPACE INVADERS,Before & After,12/5/08 (#4940),R2
DESPERATE HOUSEWIVES STAR TERI HATCHER,Proper Name,12/5/08 (#4940),R3
PIZZA BY THE SLICE,Food & Drink,12/5/08 (#4940),T3
BARBERSHOP QUARTET,People,12/5/08 (#4940),R4
SLEEPING IN,What Are You Doing?,12/5/08 (#4940),R5
ROCK MUSIC,Show Biz,12/5/08 (#4940),R6
FORMAL BOW TIE,Thing,12/5/08 (#4940),BR
BACK IN THE SADDLE AGAIN,Song Lyrics,12/8/08 (#4941),T1
SQUIRT-GUN FIGHT,Fun & Games,12/8/08 (#4941),T2
THE LAND OF THE MIDNIGHT SUN,Place,12/8/08 (#4941),R1*
THE GOLDEN GIRLS,TV Title,12/8/08 (#4941),R2
BIRDS OF A FEATHER FLOCK TOGETHER,Rhyme Time,12/8/08 (#4941),R3
ROLL-TOP DESK,Thing,12/8/08 (#4941),T3
COMMITTEE CHAIRMAN,Person,12/8/08 (#4941),R4
BREAKFAST CEREAL,Food & Drink,12/8/08 (#4941),R5
CUTE KID,Person,12/8/08 (#4941),BR
ANIMAL SANCTUARY,Place,12/9/08 (#4942),T1
THREE BLIND MICE,Fictional Characters,12/9/08 (#4942),T2
HEAVY-EQUIPMENT OPERATOR,Occupation,12/9/08 (#4942),R1
AFTER-DINNER & U.S. MINT,Same Name,12/9/08 (#4942),R2
ESCAPING TO THE ISLANDS,What Are You Doing?,12/9/08 (#4942),R3*
CHERRY TOMATOES,Food & Drink,12/9/08 (#4942),T3
WOULDN'T HURT A FLY,Phrase,12/9/08 (#4942),R4
VANTAGE POINT,Place,12/9/08 (#4942),BR
KUNG FU PANDA,Movie Title,12/10/08 (#4943),T1
WINDOW COVERINGS,Around the House,12/10/08 (#4943),T2
A CAT HAS NINE LIVES,Phrase,12/10/08 (#4943),R1
SINKING MY TOES IN THE SAND,Fun & Games,12/10/08 (#4943),R2*
CREAM PUFF THE MAGIC DRAGON,Before & After,12/10/08 (#4943),R3
LONG-TERM GOALS,Things,12/10/08 (#4943),T3
SPINACH SALAD,Food & Drink,12/10/08 (#4943),R4
I'M SKEPTICAL,Phrase,12/10/08 (#4943),BR
ANT FARM,Thing,12/11/08 (#4944),T1
METEOR SHOWER,Event,12/11/08 (#4944),T2
YOU CAN'T TEACH AN OLD DOG NEW TRICKS,Phrase,12/11/08 (#4944),R1
SOMWHERE OVER THE RAINBOW TROUT,Before & After,12/11/08 (#4944),R2
UNFORGETTABLE THEME PARKS,Places,12/11/08 (#4944),R3*
SWEET HOME ALABAMA,Song Title,12/11/08 (#4944),T3
COLLARS & LEASHES,Around the House,12/11/08 (#4944),R4
KEEP IT HANDY,Phrase,12/11/08 (#4944),BR
SAN DIEGO ZOO,Landmark,12/12/08 (#4945),T1
COUNTING SHEEP,What Are You Doing?,12/12/08 (#4945),T2
VAST WILDERNESS AND FRONTIER TOWNS,Places,12/12/08 (#4945),R1*
CRATE & BARREL OF MONKEYS,Before & After,12/12/08 (#4945),R2
EVERYTHING HAPPENS FOR A REASON,Phrase,12/12/08 (#4945),R3
WALKING AND TALKING,Rhyme Time,12/12/08 (#4945),T3
FRESHWATER AQUARIUM,Thing,12/12/08 (#4945),R4
SCANDINAVIA,On the Map,12/12/08 (#4945),R5
BLANK FORM,Thing,12/12/08 (#4945),BR
A FILM FOR THE WHOLE FAMILY,Show Biz,12/15/08 (#4946),T1
TOTE BAG,Around the House,12/15/08 (#4946),T2
BASED ON THE BEST-SELLING BOOK,Phrase,12/15/08 (#4946),R1
BEGINNER AND INTERMEDIATE SKI SLOPES,Places,12/15/08 (#4946),R2*
HONEY-ROASTED NUTS & BOLTS,Before & After,12/15/08 (#4946),R3
WISH LIST,Thing,12/15/08 (#4946),T3
FASHION DESIGNER,Occupation,12/15/08 (#4946),R4
CIVIC DUTY,Thing,12/15/08 (#4946),BR
TINSELTOWN,Place,12/16/08 (#4947),T1
RIBBONS AND BOWS,Around the House,12/16/08 (#4947),T2
CATCHING SNOWFLAKES ON YOUR TOUNGE,Fun & Games,12/16/08 (#4947),R1
FACTS & ACTION FIGURES,Same Name,12/16/08 (#4947),R2
HANDMADE TORTILLAS & SPICY SALSA,Food & Drink,12/16/08 (#4947),R3*
RISK TAKER,Person,12/16/08 (#4947),T3
THE FINISHING TOUCH,Thing,12/16/08 (#4947),R4
UNIQUE FLAVOR,Thing,12/16/08 (#4947),BR
DIRECTOR'S CUT,Show Biz,12/17/08 (#4948),T1
PINE CONES,Things,12/17/08 (#4948),T2
WINE CELLARS AND TASTING ROOMS,Places,12/17/08 (#4948),R1*
THERE'S NO BUSINESS LIKE SHOW BUSINESS,Song Lyrics,12/17/08 (#4948),R2
MAGNIFYING GLASS SLIPPER,Before & After,12/17/08 (#4948),R3
ACTOR JOHNNY DEPP,Proper Name,12/17/08 (#4948),T3
EXTRA VIRGIN OLIVE OIL,Food & Drink,12/17/08 (#4948),R4
MAIDEN VOYAGE,Event,12/17/08 (#4948),BR
READING CUE CARDS,Show Biz,12/18/08 (#4949),T1
A NOVEL IDEA,Thing,12/18/08 (#4949),T2
GO DIRECTLY TO JAIL DO NOT PASS GO,Fun & Games,12/18/08 (#4949),R1
LUGGAGE RACK OF LAMB,Before & After,12/18/08 (#4949),R2
COOLING OFF IN THE SHADE OF A PALM TREE,What Are You Doing?,12/18/08 (#4949),R3*
BAKER'S DOZEN,Phrase,12/18/08 (#4949),T3
INTERNATIONAL DATE LINE,On the Map,12/18/08 (#4949),R4
WOOL SOCKS,Things,12/18/08 (#4949),BR
THE HOLLYWOOD SIGN,Landmark,12/19/08 (#4950),T1
SIBERIAN HUSKIES,Living Things,12/19/08 (#4950),T2
COMING SOON TO A THEATER NEAR YOU,Show Biz,12/19/08 (#4950),R1
SHOPPING FOR A NEW SWIMSUIT,What Are You Doing?,12/19/08 (#4950),R2*
WIT & WISDOM TEETH,Before & After,12/19/08 (#4950),R3
FAIR & SQUARE,Rhyme Time,12/19/08 (#4950),T3
TIME-HONORED TRADITIONS,Things,12/19/08 (#4950),R4
LEX LUTHOR,Fictional Character,12/19/08 (#4950),R5
JIGSAW PUZZLE,Fun & Games,12/19/08 (#4950),BR
JINGLE ALL THE WAY,Song Lyrics,12/22/08 (#4951),T1
PATCHWORK QUILT,Around the House,12/22/08 (#4951),T2
HOCKEY STICK OF GUM,Before & After,12/22/08 (#4951),R1
HIS-AND-HERS SPA TREATMENTS,Things,12/22/08 (#4951),R2*
SLEDDING DOWN A STEEP HILL,Fun & Games,12/22/08 (#4951),R3
ANIMATED MOVIE,Show Biz,12/22/08 (#4951),T3
KISSING UNDER THE MISTLETOE,What Are You Doing?,12/22/08 (#4951),R4
BIRDBATH,Thing,12/22/08 (#4951),BR
FAMILY GATHERING,Event,12/23/08 (#4952),T1
ACTRESS MEG RYAN,Proper Name,12/23/08 (#4952),T2
CURLING UP IN THE FRONT OF THE FIRE,What Are You Doing?,12/23/08 (#4952),R1
PUNCHING BAG OF TRICKS,Before & After,12/23/08 (#4952),R2
MIGRATING HUMPBACK WHALES,Living Things,12/23/08 (#4952),R3*
COLUMBUS OHIO,On the Map,12/23/08 (#4952),T3
ENGLISH PROFESSOR,Occupation,12/23/08 (#4952),R4
RAY OF HOPE,Phrase,12/23/08 (#4952),BR
BUSHY WHITE BEARD,Thing,12/24/08 (#4953),T1
CHILLED EGGNOG,Food & Drink,12/24/08 (#4953),T2
LAST-MINUTE SHOPPERS,People,12/24/08 (#4953),R1
TRIVIAL PURSUIT OF HAPPINESS,Before & After,12/24/08 (#4953),R2
ZIPPING AROUND THE ISLAND ON A SCOOTER,Fun & Games,12/24/08 (#4953),R3*
BE OF GOOD CHEER,Phrase,12/24/08 (#4953),T3
PUSHING DAISIES,TV Title,12/24/08 (#4953),R4
WISECRACK,Thing,12/24/08 (#4953),BR
SMILING CHILDREN,People,12/25/08 (#4954),T1
CUSTOM CABINETS,In the Kitchen,12/25/08 (#4954),T2
ENJOYING AN AFTERNOON SIESTA IN A HAMMOCK,What Are You Doing?,12/25/08 (#4954),R1*
RUDOLPH'S RED NOSE GUIDES SANTA'S SLEIGH,Event,12/25/08 (#4954),R2
MISS PIGGY BANK,Before & After,12/25/08 (#4954),R3
MOUNTAIN RETREAT,Place,12/25/08 (#4954),T3
STAINED-GLASS WINDOWS,Things,12/25/08 (#4954),R4
SIBLING RIVALRY,Thing,12/25/08 (#4954),BR
HOLIDAY CONCERT,Show Biz,12/26/08 (#4955),T1
THE NORTH POLE,On the Map,12/26/08 (#4955),T2
GUMDROPS & LOLLIPOPS,Food & Drink,12/26/08 (#4955),R1
THE EXPERIENCE OF A LIFETIME,Thing,12/26/08 (#4955),R2*
PUT A LITTLE LOVE IN YOUR HEART,Song Lyrics,12/26/08 (#4955),R3
GROUND FLOOR,Place,12/26/08 (#4955),T3
IT WAS WORTH THE WAIT,Phrase,12/26/08 (#4955),R4
MASTER CARPENTER,Occupation,12/26/08 (#4955),R5
SHARP CURVE,Thing,12/26/08 (#4955),BR
PINK CHAMPAGNE,Food & Drink,12/29/08 (#4956),T1
HOUSE OF CARDS,Fun & Games,12/29/08 (#4956),T2
BACK BY POPULAR DEMAND,Phrase,12/29/08 (#4956),R1
BAKING BROWNIES FROM SCRATCH,What Are You Doing?,12/29/08 (#4956),R2
THE SEVEN HILLS OF ROME,Places,12/29/08 (#4956),R3*
AFTERSCHOOL SPECIAL,Show Biz,12/29/08 (#4956),T3
GLASS BEER MUGS,Around the House,12/29/08 (#4956),R4
INTROVERTS & EXTROVERTS,People,12/29/08 (#4956),R5
DOUBLE AGENT,Person,12/29/08 (#4956),BR
THE HEARTLAND OF AMERICA,Place,12/30/08 (#4957),T1
SOCIAL STUDIES TEACHER,Occupation,12/30/08 (#4957),T2
BRUCE SPRINGSTEEN'S BORN TO RUN,Rock On!,12/30/08 (#4957),R1
CHILLING OUT IN A SWAYING HAMMOCK,What Are You Doing?,12/30/08 (#4957),R2*
WRECKING CREW-NECK SWEATER,Before & After,12/30/08 (#4957),R3
HEALTH & WEALTH,Rhyme Time,12/30/08 (#4957),T3
APRONS & POTHOLDERS,In the Kitchen,12/30/08 (#4957),R4
FOAM RUBBER,Thing,12/30/08 (#4957),BR
TIMES SQUARE,On the Map,12/31/08 (#4958),T1
AMETEUR INVENTOR,Person,12/31/08 (#4958),T2
LAUGHING OUT LOUD AT LIMERICKS,Fun & Games,12/31/08 (#4958),R1*
BRAISED CHUCK NORRIS,Before & After,12/31/08 (#4958),R2
DON'T BEAT AROUND THE BUSH,Phrase,12/31/08 (#4958),R3
FOOD & WINE FESTIVAL,Event,12/31/08 (#4958),T3
DANCE THE NIGHT AWAY,Song Title,12/31/08 (#4958),R4
BLIND LUCK,Phrase,12/31/08 (#4958),BR
DESK CALENDAR,Thing,1/1/09 (#4959),T1
PICKLES & SAUERKRAUT,Food & Drink,1/1/09 (#4959),T2
THE APPALACHIAN TRAIL,On the Map,1/1/09 (#4959),R1
HUMAN AND RELAY RACE,Same Name,1/1/09 (#4959),R2
STROLLING BAREFOOT ALONG THE BEACH,What Are You Doing?,1/1/09 (#4959),R3*
HISTORIC LANDMARK,Place,1/1/09 (#4959),T3
IT'S GOING TO BE A GOOD YEAR,Phrase,1/1/09 (#4959),R4
CHEWY LICORICE,Food & Drink,1/1/09 (#4959),BR
GIFT BASKET,Thing,1/2/09 (#4960),T1
DRESS IN LAYERS,Phrase,1/2/09 (#4960),T2
SHARING DIGITAL PHOTOS OF MY VACATION,What Are You Doing?,1/2/09 (#4960),R1*
CHOCOLATE-DIPPED DRIED FRUIT,Food & Drink,1/2/09 (#4960),R2
PROTEIN SHAKE RATTLE & ROLL,Before & After,1/2/09 (#4960),R3
THE COLORADO RIVER,On the Map,1/2/09 (#4960),T3
SPORTS MEMORABILIA,Around the House,1/2/09 (#4960),R4
YUMA & PHOENIX,On the Map,1/2/09 (#4960),BR
REPORTING FOR DUTY,Event,1/5/09 (#4961),T1
ALARM CLOCK,Around the House,1/5/09 (#4961),T2
CORDLESS DRILL SERGEANT,Before & After,1/5/09 (#4961),R1
BLACKENED CATFISH WITH GUMBO,Food & Drink,1/5/09 (#4961),R2*
STANDARD OPERATING PROCEDURE,Phrase,1/5/09 (#4961),R3
ALGERIA & MOROCCO,On the Map,1/5/09 (#4961),T3
THE TWENTY-FIRST CENTURY,Thing,1/5/09 (#4961),R4
ABOVE AVERAGE,Phrase,1/5/09 (#4961),BR
BAND OF BROTHERS,Title,1/6/09 (#4962),T1
DUCK-BILLED PLATYPUS,Living Thing,1/6/09 (#4962),T2
TUCKED AWAY ON A QUIET SHORE,Phrase,1/6/09 (#4962),R1*
FREQUENTLY ASKED QUESTIONS,Things,1/6/09 (#4962),R2
PERMANENT PRESS YOUR LUCK,Before & After,1/6/09 (#4962),R3
CONAN THE BARBARIAN,Fictional Character,1/6/09 (#4962),T3
CIRCUS PERFORMERS,People,1/6/09 (#4962),R4
HUMBLE ABODE,Place,1/6/09 (#4962),BR
THE RIGHT STUFF,Title,1/7/09 (#4963),T1
KODIAK BEAR,Living Thing,1/7/09 (#4963),T2
ACTOR-DIRECTOR CLINT EASTWOOD,Show Biz,1/7/09 (#4963),R1
FIRE DANCERS AT A LUAU,People,1/7/09 (#4963),R2*
AIRCRAFT & MAIL CARRIER,Same Name,1/7/09 (#4963),R3
DRESS FOR SUCCESS,Rhyme Time,1/7/09 (#4963),T3
GOOSE DOWN PILLOWS,Around the House,1/7/09 (#4963),R4
FLAT STANLEY,Fictional Character,1/7/09 (#4963),R5
SLOWPOKE,Person,1/7/09 (#4963),BR
QUANTICO VIRGINIA,On the Map,1/8/09 (#4964),T1
ONE-ACT PLAY,Show Biz,1/8/09 (#4964),T2
DRIVERS AND PASSENGERS,People,1/8/09 (#4964),R1
HIGH-HEELED BOOT CAMP,Before & After,1/8/09 (#4964),R2
SEA OTTERS SWIMMING NEAR ICEBERGS,Living Things,1/8/09 (#4964),R3*
ANCHORS AWEIGH,Song Title,1/8/09 (#4964),T3
THE TENSION IS MOUNTING,Phrase,1/8/09 (#4964),R4
FAIR ENOUGH,Phrase,1/8/09 (#4964),BR
FRONT AND CENTER,Phrase,1/9/09 (#4965),T1
SPEED DEMON,Person,1/9/09 (#4965),T2
LISTENING TO A MARIACHI BAND DURING DINNER,Fun & Games,1/9/09 (#4965),R1*
ELBOW ROOM FOR RENT,Before & After,1/9/09 (#4965),R2
GETTYSBURG NATIONAL MILITARY PARK,Landmark,1/9/09 (#4965),R3
PHONETIC ALPHABET,Thing,1/9/09 (#4965),T3
COIN COLLECTION,Around the House,1/9/09 (#4965),R4
YOUNG PUP,Living Thing,1/9/09 (#4965),BR
TAKE LOTS OF PICTURES,Phrase,1/12/09 (#4966),T1
ASTRONOMER,Person,1/12/09 (#4966),T2
RICH CULTURAL HERITAGE,Thing,1/12/09 (#4966),R1*
ISTANBUL TURKEY DRUMSTICK,Before & After,1/12/09 (#4966),R2
A FAMILY OF TRAPEZE ARTISTS,Show Biz,1/12/09 (#4966),R3
PLAYING CATCH-UP,What Are You Doing?,1/12/09 (#4966),T3
SECRET HEADQUARTERS,Place,1/12/09 (#4966),R4
KILOGRAMS,Things,1/12/09 (#4966),BR
I'M ON MY WAY,Phrase,1/13/09 (#4967),T1
MEASURING CUP,In the Kitchen,1/13/09 (#4967),T2
A LITTER OF SIAMESE KITTENS,Living Things,1/13/09 (#4967),R1
BASKING IN THE WARM SUNSHINE,Fun & Games,1/13/09 (#4967),R2*
IRONING BOARD OF EDUCATION,Before & After,1/13/09 (#4967),R3
THE REAL DEAL,Rhyme Time,1/13/09 (#4967),T3
OVERNIGHT SUCCESS,Person,1/13/09 (#4967),R4
PEACH FUZZ,Thing,1/13/09 (#4967),BR
GARMENT BAG,Thing,1/14/09 (#4968),T1
SKIPPING ROPE,Fun & Games,1/14/09 (#4968),T2
KEITH URBAN LEGEND,Before & After,1/14/09 (#4968),R1
JUNGLE RIVERBOAT RIDE,Thing,1/14/09 (#4968),R2*
PUTTING THE ICE ON THE CAKE,What Are You Doing?,1/14/09 (#4968),R3
RARE ORCHIDS,Living Things,1/14/09 (#4968),T3
CLOSE BUT NO CIGAR,Phrase,1/14/09 (#4968),R4
BLOWOUT,Event,1/14/09 (#4968),BR
TRAVEL LOG,Thing,1/15/09 (#4969),T1
THE WONDERER,Song Title,1/15/09 (#4969),T2
AWARD-WINNING CHILDREN'S BOOK AUTHOR,Person,1/15/09 (#4969),R1
TWICE-BAKED & COUCH POTATO,Same Name,1/15/09 (#4969),R2
LOBBY OF A BROADWAY THEATER,Place,1/15/09 (#4969),R3*
SWEET TREAT,Rhyme Time,1/15/09 (#4969),T3
AN ENORMOUS UNDERTAKING,Event,1/15/09 (#4969),R4
FOOLPROOF PLAN,Thing,1/15/09 (#4969),BR
PACK YOUR THINGS,Phrase,1/16/09 (#4970),T1
PEDIATRICIAN,Occupation,1/16/09 (#4970),T2
THE GENTLE ROCKING OF THE WAVES,Thing,1/16/09 (#4970),R1*
THE BOY WHO CRIED WOLF BLITZER,Before & After,1/16/09 (#4970),R2
SHARING A BANANA SPLIT,What Are You Doing?,1/16/09 (#4970),R3
REESE WITHERSPOON,Proper Name,1/16/09 (#4970),T3
INFANTS & TODDLERS,People,1/16/09 (#4970),R4
LOVE POEM,Thing,1/16/09 (#4970),BR
MAKING THE HONOR ROLL,Event,1/19/09 (#4971),T1
LIVE BROADCAST,Show Biz,1/19/09 (#4971),T2
I BEFORE E EXCEPT AFTER C,Rhyme Time,1/19/09 (#4971),R1
STUDY HALL OF MIRRORS,Before & After,1/19/09 (#4971),R2
EARTH'S AMAZING RAIN FORESTS,Places,1/19/09 (#4971),R3*
HOMECOMING QUEEN,Person,1/19/09 (#4971),T3
MAGAZINE SUBSCRIPTION,Thing,1/19/09 (#4971),R4
PACK OF WOLVES,Living Things,1/19/09 (#4971),BR
THE GRADUATE,Title,1/20/09 (#4972),T1
HALIFAX NOVA SCOTIA,On the Map,1/20/09 (#4972),T2
SIT BACK AND RELAX BY THE POOL,Phrase,1/20/09 (#4972),R1*
LASER & BALANCE BEAM,Same Name,1/20/09 (#4972),R2
KING ARTHUR & THE KNIGHTS OF THE ROUND TABLE,Fictional Characters,1/20/09 (#4972),R3
PUBLIC-ADDRESS SYSTEM,Thing,1/20/09 (#4972),T3
STRIKES SPARES AND SPLITS,Fun & Games,1/20/09 (#4972),R4
FISH TACOS,Food & Drink,1/20/09 (#4972),R5
ASK YOUR DOCTOR,Phrase,1/20/09 (#4972),BR
SAFETY PATROL,People,1/21/09 (#4973),T1
PINK TULIPS,Living Things,1/21/09 (#4973),T2
VICE PRINCIPAL'S OFFICE,Place,1/21/09 (#4973),R1
LEAVE THE MAINLAND BEHIND,Phrase,1/21/09 (#4973),R2*
DUCK CALL HAMMOCK,Before & After,1/21/09 (#4973),R3
WHY CAN'T WE BE FRIENDS?,Song Lyrics,1/21/09 (#4973),T3
